Country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,c,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age,year,"Population, total",GDP per capita (constant 2015 US$),GNI (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),obs_true_val,Military_Cost,obs_true_val_grpd,Life_excpet_grp,Inflation_grp,Military_Cost_grp
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2003,14.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2003,22645130,363.1014815,0,0,57.344,0,1430,0,<2k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2010,34.3,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2010,28189672,569.282712,15661395679,2.178537524,60.851,1.945835694,3430,1107.730621,2k-5k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2011,38.6,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2011,29249157,551.0009703,18170576454,11.80418581,61.419,1.821345454,3860,1003.563112,2k-5k,36-65,Nov-20,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2012,39.9,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2012,30466479,596.4428151,20235386309,6.441212809,61.923,1.17541612,3990,701.0684996,2k-5k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2014,45.2,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2014,32716210,602.5169793,20548204591,4.673996035,62.545,1.298012878,4520,782.0747983,2k-5k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2015,50.5,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2015,33753499,592.4765375,20178945326,-0.661709165,62.659,0.994575823,5050,589.2628397,5k-10k,36-65,,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2017,53.4,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2017,35643418,588.9304508,19145017023,4.975951506,63.016,0.9452268,5340,556.6728454,5k-10k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2018,58.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2018,36686784,578.985909,18610257350,0.626149149,63.081,1.006746292,5880,582.8919173,5k-10k,36-65,<=10,<=10k
Afghanistan,AF,AFG,4,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2020,61.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2020,38972230,553.0364789,20332384125,0,62.575,1.358856927,6180,751.4974504,5k-10k,36-65,<=10,<=10k
Albania,AL,ALB,8,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2000,99.1,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2000,3089027,1960.881946,3585007222,0.050018136,75.404,1.246360242,9910,2443.965297,5k-10k,>65,<=10,<=10k
Albania,AL,ALB,8,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2002,98,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2002,3051010,2247.497491,4457186384,7.770525834,75.89,1.320034494,9800,2966.774214,5k-10k,>65,<=10,<=10k
Albania,AL,ALB,8,Skilled birth attendant - percentage of deliveries attended by skilled health personnel,2005,99.8,Female,Units,%,Reported,Free,End of fieldwork,15 to 49 years old,2005,3011487,2675.507936,8214104794,2.366581957,76.621,1.350004971,9980,3611.949013,5k-10k,>65,<=10,<=10k
